Region Code,Region,Patient Age Band (Years old),Gender,items,patients,net_cost,obesity_rate,items_per_patient,cost_per_item,cost_per_patient,gender_items_share,gender_is_female,gender_is_male,items_yoy_pct,patients_yoy_pct,net_cost_yoy_pct
Y56,LONDON,18-29,Female,2071,1796,224883.45,20.88973,1.1531180400890868,108.5868903911154,125.2135022271715,0.6401854714064915,1.0,0.0,0.09705456301303718,0.07405345211581292,0.14816061386464852
Y56,LONDON,18-29,Male,1162,1008,121990.65,20.88973,1.1527777777777777,104.98334767641997,121.02247023809524,0.3591962905718702,0.0,1.0,-0.00946643717728055,-0.04265873015873016,0.05717036510585045
Y56,LONDON,18-29,Not Known (not recorded),2,0,146.5,20.88973,0.0,73.25,0.0,0.0006182380216383308,0.0,0.0,1.5,0.0,2.0
Y56,LONDON,30-39,Female,7272,6163,766462.37,20.88973,1.1799448320623074,105.39911578657866,124.36514197631024,0.6183673469387755,1.0,0.0,0.08402090209020902,0.06620152523121857,0.12626930399727262
Y56,LONDON,30-39,Male,4484,3800,468268.69,20.88973,1.18,104.43101917930419,123.22860263157895,0.3812925170068027,0.0,1.0,0.009812667261373774,0.006578947368421052,0.04770239923578913
Y56,LONDON,30-39,Not Known (not recorded),4,0,366.25,20.88973,0.0,91.5625,0.0,0.0003401360544217687,0.0,0.0,0.0,0.0,0.25119453924914675
Y56,LONDON,40-49,Female,21275,18009,2192820.11,20.889730000000004,1.181353767560664,103.07027544065804,121.76245821533676,0.5798898822503271,1.0,0.0,0.0066274970622796706,-0.015270142706424565,0.0415235885446163
Y56,LONDON,40-49,Male,15397,13117,1555794.03,20.889730000000004,1.17382023328505,101.04527050724167,118.6089829991614,0.4196740078499782,0.0,1.0,-0.006040137689160226,-0.03354425554623771,0.02904921161061394
Y56,LONDON,40-49,Not Known (not recorded),16,0,1666.44,20.88973,0.0,104.1525,0.0,0.0004361098996947231,0.0,0.0,-0.25,0.0,-0.17638798876647227
Y56,LONDON,50-59,Female,46865,39871,4894342.2,20.88973,1.175415715683078,104.43491304811694,122.75443806275239,0.5479043666335418,1.0,0.0,-0.03249759948789075,-0.05440044142359108,-0.0096783812950391
Y56,LONDON,50-59,Male,38639,33046,4047505.3,20.88973,1.1692489257398777,104.75181293511736,122.48094474369061,0.451733208628047,0.0,1.0,-0.061078185253241546,-0.0900260243297222,-0.04009539159837532
Y56,LONDON,50-59,Not Known (not recorded),31,0,4340.0599999999995,20.88973,0.0,140.00193548387094,0.0,0.0003624247384111767,0.0,0.0,0.0967741935483871,0.0,0.17552061492237447
Y56,LONDON,60+,Female,74705,63193,7896739.86,20.88973,1.1821720760210783,105.70564031858645,124.96225626256073,0.49924483413082416,1.0,0.0,-0.016545077304062645,-0.03903913408130647,-0.017254336905559494
Y56,LONDON,60+,Indeterminate (unable to be classified as either male or female),13,12,952.25,20.88973,1.0833333333333333,73.25,79.35416666666667,8.687748937421476e-05,0.0,0.0,-0.5384615384615384,-0.5833333333333334,-0.2880021002887897
Y56,LONDON,60+,Male,74867,64124,7938176.76,20.88973,1.1675347763707815,106.03038401431873,123.79416068866571,0.5003274613061028,0.0,1.0,-0.02946558563853233,-0.05671823342274344,-0.014377416055421742
Y56,LONDON,60+,Not Known (not recorded),51,5,6940.8,20.88973,10.2,136.09411764705882,1388.16,0.00034082707369884253,0.0,0.0,0.27450980392156865,-0.2,0.17298582295988932
Y58,SOUTH WEST,18-29,Female,1452,1202,126741.27,25.74357,1.2079866888519135,87.28737603305785,105.44198835274543,0.7163295510606809,1.0,0.0,-0.08608815426997245,-0.08652246256239601,-0.003032556009577668
Y58,SOUTH WEST,18-29,Male,570,496,48988.229999999996,25.74357,1.1491935483870968,85.94426315789472,98.76659274193547,0.2812037493833251,0.0,1.0,-0.23508771929824562,-0.2399193548387097,-0.16157962841278392
Y58,SOUTH WEST,18-29,Not Known (not recorded),5,3,2417.25,25.74357,1.6666666666666667,483.45,805.75,0.00246669955599408,0.0,0.0,0.2,0.0,-0.5222877236529113
Y58,SOUTH WEST,30-39,Female,6345,5377,537303.3200000001,25.74357,1.1800260368235076,84.6813743104807,99.92622652036452,0.6699398162812797,1.0,0.0,-0.13443656422379827,-0.1480379393713967,-0.019152533805300305
Y58,SOUTH WEST,30-39,Male,3108,2648,265137.96,25.74357,1.1737160120845922,85.30822393822395,100.12762839879154,0.328159645232816,0.0,1.0,-0.10167310167310167,-0.11442598187311179,-0.011140954693926187
Y58,SOUTH WEST,30-39,Not Known (not recorded),18,0,1362.97,25.74357,0.0,75.72055555555556,0.0,0.0019005384859043396,0.0,0.0,0.1111111111111111,0.0,0.6849233658847956
Y58,SOUTH WEST,40-49,Female,16393,13869,1424784.66,25.743569999999995,1.1819886076862067,86.91421094369548,102.73160718148388,0.5766700671896436,1.0,0.0,-0.14262185078997133,-0.15754560530679934,-0.0749516562032609
Y58,SOUTH WEST,40-49,Male,11968,10184,1031249.01,25.74357,1.1751767478397486,86.16719669117647,101.26168597800472,0.42100819643296866,0.0,1.0,-0.21131350267379678,-0.22761194029850745,-0.1414190836411082
Y58,SOUTH WEST,40-49,Not Known (not recorded),66,0,5218.6900000000005,25.74357,0.0,79.07106060606061,0.0,0.002321736377387695,0.0,0.0,0.10606060606060606,0.0,0.24063701810224392
Y58,SOUTH WEST,50-59,Female,40304,34131,3510927.4400000004,25.74357,1.1808619729864347,87.111141325923,102.86623421522957,0.526994338315093,1.0,0.0,-0.189410480349345,-0.20509214497084763,-0.13302975865545102
Y58,SOUTH WEST,50-59,Male,35974,30934,3120926.05,25.74357,1.162927523113726,86.75504670039473,100.88983157690566,0.4703774892454138,0.0,1.0,-0.21332073163951742,-0.2307816641882718,-0.16346436981420948
Y58,SOUTH WEST,50-59,Not Known (not recorded),201,0,16041.900000000001,25.74357,0.0,79.81044776119404,0.0,0.0026281724394931942,0.0,0.0,-0.13432835820895522,0.0,-0.038239859368279464
Y58,SOUTH WEST,60+,Female,71441,60839,6290326.03,25.74357,1.1742632193165568,88.04924385156983,103.39298854353294,0.44630262442760493,1.0,0.0,-0.17182010330202543,-0.1884153256956886,-0.1343224367020607
Y58,SOUTH WEST,60+,Male,88090,75305,7695126.73,25.74357,1.1697762432773389,87.35528130321264,102.18613279330722,0.5503114204144359,0.0,1.0,-0.2134635032353275,-0.22894894097337495,-0.1754464750705932
Y58,SOUTH WEST,60+,Not Known (not recorded),542,1,42392.69,25.743569999999995,542.0,78.21529520295203,42392.69,0.0033859551579591813,0.0,0.0,-0.13653136531365315,-1.0,-0.08837773682207946
Y59,SOUTH EAST,18-29,Female,1936,1608,193812.83,24.27609,1.2039800995024876,100.10993285123966,120.53036691542287,0.663923182441701,1.0,0.0,0.0490702479338843,0.04477611940298507,0.10565198392696704
