Region Code,Region,Patient Age Band (Years old),Gender,items,patients,net_cost,items_per_patient,cost_per_patient,cost_per_item,obesity_rate,items_yoy_pct,patients_yoy_pct,net_cost_yoy_pct,gender_items_share,share_yoy_pct,share_dulaglutide,share_exenatide,share_insulin_combo,share_liraglutide,share_lixisenatide,share_semaglutide,share_tirzepatide,norm_items,norm_patients,norm_net_cost,norm_items_per_patient,norm_cost_per_patient,norm_cost_per_item,norm_obesity_rate,norm_items_yoy_pct,norm_patients_yoy_pct,norm_net_cost_yoy_pct,norm_gender_items_share,norm_share_yoy_pct,norm_share_dulaglutide,norm_share_exenatide,norm_share_insulin_combo,norm_share_liraglutide,norm_share_lixisenatide,norm_share_semaglutide,norm_share_tirzepatide
Y56,LONDON,18-29,Female,2071,1796,224883.45,1.1531180400890868,125.2135022271715,108.5868903911154,20.88973,0.09705456301303718,0.07405345211581292,0.14816061386464852,0.6401854714064915,4.686142679755537e-05,0.315774675338906,0.004345523055122561,0.0038626871601089422,0.09173882005258738,0.0,0.5842314329664775,0.0,0.01329590781503915,0.013526235323356856,0.016331723755643953,0.0021275240592049573,0.002953657864767994,0.08614551533670259,0.0,0.4048110267328036,0.5370267260579065,0.3557481119239396,0.87229349107751,0.24397330264540118,0.3026952509165845,0.004345523055122561,0.025152909919062348,0.2692704255247241,0.0,0.5030881783878002,0.0
Y56,LONDON,18-29,Male,1162,1008,121990.65,1.1527777777777777,121.02247023809524,104.98334767641997,20.88973,-0.00946643717728055,-0.04265873015873016,0.05717036510585045,0.3591962905718702,-8.146742080811237e-06,0.35456399006689954,0.0051635532534014495,0.006884737671201933,0.09466514297902658,0.0,0.5387307227715513,0.0,0.007457270035391522,0.0075915619186768995,0.008856899276840401,0.0021268962689626894,0.0028547957262937368,0.07736067205368105,0.0,0.3596202993793355,0.47867063492063494,0.324092753474251,0.48942401301441735,0.24389011956075587,0.33987790763809306,0.0051635532534014495,0.04483179177659141,0.27785972522547614,0.0,0.4639070112755026,0.0
Y56,LONDON,18-29,Not Known (not recorded),2,0,146.5,0.0,0.0,73.25,20.88973,1.5,0.0,2.0,0.0006182380216383308,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,6.423143871999589e-06,0.0,5.3213722735931e-06,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0008336999746073468,0.89198606271777,0.0,0.0,0.0,0.0,0.0,0.4920634920634921,0.0
Y56,LONDON,30-39,Female,7272,6163,766462.37,1.1799448320623074,124.36514197631024,105.39911578657866,20.88973,0.08402090209020902,0.06620152523121857,0.12626930399727262,0.6183673469387755,1.1553895946293861e-05,0.40098546601202156,0.007563168940555962,0.002475218926000133,0.09832119622722751,0.0,0.4906433959982486,0.0,0.04670267909330901,0.04641547232619616,0.05567565616315925,0.002177019985354811,0.0029336459181125386,0.07837424618863643,0.0,0.3992815948261493,0.5331007626156092,0.3481321610914282,0.8425646100492167,0.24391991076947975,0.38437660055590234,0.007563168940555962,0.01611804324165969,0.28859091855584373,0.0,0.42249847988738076,0.0
Y56,LONDON,30-39,Male,4484,3800,468268.69,1.18,123.22860263157895,104.43101917930419,20.88973,0.009812667261373774,0.006578947368421052,0.04770239923578913,0.3812925170068027,2.188368819723171e-06,0.3911677434435972,0.007359484340729024,0.004683308216827561,0.07002660857542163,0.0004460293539835772,0.5263146377006211,0.0,0.028794953978174158,0.028618983423583547,0.03401286324967538,0.0021771217712177123,0.002906836122727266,0.07601418620015647,0.0,0.3677993133836131,0.5032894736842105,0.3207988636619404,0.5195318294690506,0.24390574826504444,0.3749655292181228,0.007359484340729024,0.03049660115310653,0.20554106405933942,0.014759516804547465,0.45321538246442383,0.0
Y56,LONDON,30-39,Not Known (not recorded),4,0,366.25,0.0,0.0,91.5625,20.88973,0.0,0.0,0.25119453924914675,0.0003401360544217687,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.926943161599877e-05,0.0,2.12854890943724e-05,0.0,0.0,0.044642857142857144,0.0,0.3636363636363636,0.5,0.3915934457373545,0.00045476454826724066,0.24390243902439024,0.0,0.0,0.0,0.0,0.0,0.8611111111111113,0.0
Y56,LONDON,40-49,Female,21275,18009,2192820.11,1.181353767560664,121.76245821533676,103.07027544065804,20.889730000000004,0.0066274970622796706,-0.015270142706424565,0.0415235885446163,0.5798898822503271,3.1151562856454793e-07,0.43656860665771285,0.007849586273884372,0.003948294892253217,0.10124556187992179,0.0014571088292839253,0.4489305299513152,0.0,0.13664596273291926,0.13563138749350426,0.15929586817491234,0.0021796194973443986,0.002872251282363463,0.07269691721272072,3.898426105868959e-16,0.3664480290567247,0.4923649286467877,0.3186492655468684,0.7901360902795255,0.24390291009680418,0.41848588330502656,0.007849586273884372,0.025710367327790067,0.29717447329569635,0.04821705580539535,0.386579067458077,0.0
Y56,LONDON,40-49,Male,15397,13117,1555794.03,1.17382023328505,118.6089829991614,101.04527050724167,20.889730000000004,-0.006040137689160226,-0.03354425554623771,0.02904921161061394,0.4196740078499782,-3.922933077005793e-07,0.527830303836313,0.01123595946396975,0.00448139423707464,0.08073004400990982,0.0018185367918563758,0.3738392062116178,6.494774256629914e-05,0.09889072305330567,0.09878821199135406,0.11301801261630895,0.0021657199876107935,0.002797864042106349,0.06776028890112547,3.898426105868959e-16,0.36107388098035625,0.4832278722268811,0.31430945025161466,0.5718295774562192,0.24390184580036398,0.5059675101862883,0.01123595946396975,0.029181784826127214,0.2369576291772353,0.0601770356577928,0.32191709423778203,1.0
Y56,LONDON,40-49,Not Known (not recorded),16,0,1666.44,0.0,0.0,104.1525,20.88973,-0.25,0.0,-0.17638798876647227,0.0004361098996947231,-0.015873015873015872,0.5714285714285714,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,9.634715807999383e-05,0.0,0.00011574002856745107,0.0,0.0,0.0753352023403218,0.0,0.25757575757575757,0.5,0.2428381848627685,0.0005855363307900379,0.21989934185056137,0.547759932375317,0.0,0.0,0.0,0.0,0.3827160493827161,0.0
Y56,LONDON,50-59,Female,46865,39871,4894342.2,1.175415715683078,122.75443806275239,104.43491304811694,20.88973,-0.03249759948789075,-0.05440044142359108,-0.0096783812950391,0.5479043666335418,-6.934305349987954e-07,0.4805508506721237,0.011074370209974345,0.0032220229319963895,0.1122373551145762,0.002005762619918282,0.390910331881946,0.0,0.30101421441738874,0.30028091791623673,0.35555258825989916,0.0021686636820720997,0.002895651067737206,0.0760236788106215,0.0,0.3498495032475615,0.47279977928820444,0.30083618413744184,0.7465533529178862,0.2439013904221178,0.4606463775673612,0.011074370209974345,0.020981055210117668,0.32943742195667275,0.06637250851365951,0.3366172302316758,0.0
